ID,stakeholder,source_ID,doc_tone,doc_type,doc_raw,continent,region,country,country_code,income_level,urban_rural,month,year,topic_ID,title,report_ID,num_pages,URL,filename_original,word_count,continent_main,region_main,success_failure,ewb_Functional,ewb_Community.capacity,ewb_maintenance,wb_projectPerformance,wb_risktoDevelopment,matched_success_pathways,matched_fail_pathways,weighted_outcome,binary_outcome
104-14-SYC-85,Engineer,EWB,I,B ,B ,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Seychelles, Uganda, Guatemala, Honduras, Mexico",SYC,H,none,1,2014,water,On the Staff Bookshelf: Toxic Charity,,1,https://www.ewb-usa.org/on-the-staff-bookshelf-toxic-charity/,,2716,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-14-TGO-80,Engineer,EWB,I,B ,B ,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Madagascar, Mali, Togo, Ecuador",TGO,LO,none,1,2014,"ag, water","Connecting with the Community, At-Home and In-Country",,1,https://www.ewb-usa.org/connecting-with-the-community-at-home-and-in-country/,,5281,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-14-THA-70,Engineer,EWB,I,B ,B ,Asia,South-eastern Asia,Thailand,THA,UM,none,1,2014,"ag, water",California Students Teach Organic Practices in Thailand,,1,https://www.ewb-usa.org/california-students-teach-organic-practices-in-thailand/,,2444,Asia,South-eastern Asia,NA,,,,NA,,2,0,0.285714286,1
104-14-UGA-71,Engineer,EWB,I,B ,B ,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Uganda, Paraguay, Peru",UGA,LO,none,1,2014,water,The Power of Words,,1,https://www.ewb-usa.org/the-power-of-words/,,2923,Africa,Sub-Saharan Africa,NA,,,,NA,,2,0,0.285714286,1
104-14-UGA-72,Engineer,EWB,I,B ,B ,"Africa, Americas, Asia","Sub-Saharan Africa, Latin America and the Caribbean, Southern Asia","Uganda, Ghana, El Salvador, India",UGA,LO,none,1,2014,water,"One Year, Many Stories: Read the EWB-USA 2013 Annual Report",,1,https://www.ewb-usa.org/one-year-many-stories-read-the-ewb-usa-2013-annual-report/,,3051,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-14-UGA-77,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Uganda,UGA,LO,rural,1,2014,water,Bringing Clean Water to Bbanda,,1,https://www.ewb-usa.org/bringing-clean-water-to-bbanda/,,2167,Africa,Sub-Saharan Africa,NA,,,,NA,,1,0,0.142857143,1
104-15-999-49,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2015,water,2015 Regional Conferences: A Recap and an Invitation,,1,https://www.ewb-usa.org/2015-regional-conferences-a-recap-and-an-invitation/,,3242,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-15-999-50,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2015,"ag, water",Introducing the Lessons from the Field Series,,1,https://www.ewb-usa.org/introducing-the-lessons-from-the-field-series/,,4061,all,all,NA,,,,NA,,3,0,0.428571429,1
104-15-999-51,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2015,water,The Value of an EWB-USA Membership,,1,https://www.ewb-usa.org/the-value-of-a-ewb-usa-membership/,,3432,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-15-999-62,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2015,"ag, water",Monitoring for a Fruitful Project,,1,https://www.ewb-usa.org/blog-monitoring-for-a-fruitful-project/,,2977,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-15-CMR-66,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Cameroon,CMR,LM,none,1,2015,water,Community Health Workers Promote Positive Change in Cameroon,,1,https://www.ewb-usa.org/community-health-workers-promote-positive-change-in-cameroon/,,3001,Africa,Sub-Saharan Africa,NA,,,,NA,,1,0,0.142857143,1
104-15-DMA-53,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Dominica,DMA,UM,none,1,2015,water,Volunteer Voices: The Pinalito Community,,1,https://www.ewb-usa.org/volunteer-voices-the-pinalito-community/,,4218,Americas,Latin America and the Caribbean,NA,,,,NA,,4,0,0.571428571,1
104-15-ETH-57,Engineer,EWB,I,B ,B ,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Ethiopia, El Salvador",ETH,LO,none,1,2015,water,Introducing the Leaders in Learning Series,,1,https://www.ewb-usa.org/introducing-the-leaders-in-learning-series/,,3120,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-15-GHA-64,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Ghana,GHA,LM,none,1,2015,water,Go Chasing Waterfalls When You Have a Plan,,1,https://www.ewb-usa.org/go-chasing-waterfalls-when-you-have-a-plan/,,4044,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-15-GTM-59,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,"Guatemala, Mexico",GTM,UM,none,1,2015,water,"Meet Our New Project Engineer, Chris Brandewie",,1,https://www.ewb-usa.org/meet-our-new-project-engineer-chris-brandewie/,,2655,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-15-HND-58,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Honduras,HND,LM,rural,1,2015,water,"Water for All: Three Communities, One Water System",,1,https://www.ewb-usa.org/water-for-all-three-communities-one-water-system/,,2018,Americas,Latin America and the Caribbean,NA,,,,NA,,1,0,0.142857143,1
104-15-KEN-56,Engineer,EWB,I,B ,B ,"Africa, Europe","Sub-Saharan Africa, Northern Europe","Kenya, Jersey",KEN,LM,rural,1,2015,water,"Two Classrooms, One Goal",,1,https://www.ewb-usa.org/two-classrooms-one-goal/,,2945,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-15-MEX-68,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Mexico,MEX,UM,none,1,2015,water,A Healthy Glass of Water,,1,https://www.ewb-usa.org/a-healthy-glass-of-water/,,2752,Americas,Latin America and the Caribbean,NA,,,,NA,,2,0,0.285714286,1
104-15-MLI-67,Engineer,EWB,I,B ,B ,"Africa, Americas, Asia","Sub-Saharan Africa, Latin America and the Caribbean, Southern Asia","Mali, Ecuador, India",MLI,LO,rural,1,2015,water,"Professional Engineer Spotlight: Meet Tiffany Martindale, PE",,1,https://www.ewb-usa.org/professional-engineer-spotlight-meet-tiffany-martindale-p-e/,,2797,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-15-NIC-63,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Nicaragua,NIC,LM,rural,1,2015,water,Meet Our New Nicaragua Country Coordinator,,1,https://www.ewb-usa.org/meet-our-new-nicaragua-country-coordinator/,,3423,Americas,Latin America and the Caribbean,NA,,,,NA,,1,0,0.142857143,1
104-15-NPL-61,Engineer,EWB,I,B ,B ,Asia,Southern Asia,Nepal,NPL,LO,none,1,2015,water,Recovering from Rubble: EWB-USA Responds to the Nepal Earthquake,,1,https://www.ewb-usa.org/recovering-from-rubble/,,4310,Asia,Southern Asia,NA,,,,NA,,0,-1,-0.333333333,0
104-15-NPL-69,Engineer,EWB,I,B ,B ,Asia,Southern Asia,Nepal,NPL,LO,none,1,2015,water,Strong Projects Start with Strong Leaders,,1,https://www.ewb-usa.org/strong-projects-start-with-strong-leaders/,,2973,Asia,Southern Asia,NA,,,,NA,,0,-1,-0.333333333,0
104-15-PER-52,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Peru,PER,UM,rural,1,2015,"ag, water",Wearing Down Shovels to Build Up a Community,,1,https://www.ewb-usa.org/wearing-down-shovels-to-build-up-a-community/,,2386,Americas,Latin America and the Caribbean,NA,,,,NA,,1,0,0.142857143,1
104-15-SLE-60,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,"Guinea, Liberia, Sierra Leone",SLE,LO,none,1,2015,water,Engineering Change in a Global Health Crisis,,1,https://www.ewb-usa.org/engineering-change-in-a-global-health-crisis/,,4675,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-15-UGA-54,Engineer,EWB,I,B ,B ,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Uganda, Guatemala, Nicaragua",UGA,LO,none,1,2015,water,Winners of the 2015 EWB-USA Photo Contest,,1,https://www.ewb-usa.org/winners-of-the-2015-ewb-usa-photo-contest/,,1536,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-15-UGA-55,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Uganda,UGA,LO,none,1,2015,water,The New myEWB-USA: Tools and Resources for a Successful Chapter,,1,https://www.ewb-usa.org/the-new-myewb-usa-tools-and-resources-for-a-successful-chapter/,,2173,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-15-UGA-95,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Uganda,UGA,LO,rural,NA,2015,"ag, water",columbia,,24,,,34890,Africa,Sub-Saharan Africa,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-15-ZMB-65,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Zambia,ZMB,LM,rural,1,2015,water,"Hope Flows Like Water in Simwatachela, Zambia",,1,https://www.ewb-usa.org/hope-flows-like-water-in-simwatachela-zambia/,,2469,Africa,Sub-Saharan Africa,NA,,,,NA,,2,0,0.285714286,1
104-16-999-34,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,water,"Hey, Members! Here's What the New Volunteer Village Means for YOU",,1,https://www.ewb-usa.org/hey-members-heres-new-volunteer-village-means/,,2711,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-16-999-36,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,water,Share Your Passion: EWB-USA Regional Conference Call for Presentations,,1,https://www.ewb-usa.org/share-passion-ewb-usa-regional-conference-call-presentations/,,2672,all,all,NA,,,,NA,,1,0,0.142857143,1
104-16-999-39,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,water,Passionate about Project Management? EWB-USA's Newest Committee Needs YOU!,,1,https://www.ewb-usa.org/passionate-about-project-management-ewb-usas-newest-committee-needs-you/,,2235,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-16-999-40,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,"ag, water",The Quest for Clean Water in the Salinas Valley,,1,https://www.ewb-usa.org/the-quest-for-clean-water-in-the-salinas-valley/,,3275,all,all,NA,,,,NA,,0,0,0,None
104-16-999-41,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,"ag, water",The Path to Water Access in the Navajo Canyon,,1,https://www.ewb-usa.org/the-path-to-water-access-in-the-navajo-canyon/,,2971,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-16-999-45,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,"ag, water","Meet Our New Chief Financial Officer, Donna Driscoll",,1,https://www.ewb-usa.org/meet-our-new-chief-financial-officer-donna-driscoll/,,2436,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-16-999-46,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,water,Documenting Your Design - The Value of Drawing,,1,https://www.ewb-usa.org/documenting-your-design/,,4029,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-16-999-48,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2016,water,"Meet Our New Corporate Relationship Manager, Lindsay Grove",,1,https://www.ewb-usa.org/meet-our-new-corporate-relationship-manager-lindsay-grove/,,2964,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-16-BOL-102,Engineer,EWB,F,PR,ME,Americas,Latin America and the Caribbean,Bolivia,BOL,LM,none,NA,2016,"ag, water",University of Kansas Chapter,,9,,,10974,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-16-BOL-103,Engineer,EWB,F,PR,ME,Americas,Latin America and the Caribbean,Bolivia,BOL,LM,none,NA,2016,"ag, water",University of Kansas Chapter,,12,,,17060,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-16-CRI-38,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Costa Rica,CRI,UM,none,1,2016,"ag, water","Act Global, Think Local: EWB-USA's Global Classroom takes Learning to Costa Rica",,1,https://www.ewb-usa.org/act-global-think-local-ewb-usas-global-classroom-takes-learning-to-costa-rica/,,2243,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-16-CRI-42,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Costa Rica,CRI,UM,none,1,2016,"ag, water",The Global Classroom: A New Learning Experience,,1,https://www.ewb-usa.org/the-global-classroom-a-new-learning-experience/,,2411,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-16-DMA-47,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,"Dominica, Dominican Republic",DMA,UM,none,1,2016,water,Volunteer Voices: Qualities of Great Mentors,,1,https://www.ewb-usa.org/volunteer-voices-qualities-of-great-mentors/,,2801,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-16-ETH-33,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Ethiopia,ETH,LO,rural,1,2016,water,Tackling Ethiopia's Water Crisis with Partnership,,1,https://www.ewb-usa.org/tackling-ethiopias-water-crisis-partnership/,,4193,Africa,Sub-Saharan Africa,NA,,,,NA,,3,0,0.428571429,1
104-16-EUR-35,Engineer,EWB,I,B ,B ,Europe,[None],[None],EUR,none,rural,1,2016,ag,Engineering Service Corps Launches USAID Farmer-to-Farmer Program in Kosovo,,1,https://www.ewb-usa.org/engineering-service-corps-launches-usaid-farmer-farmer-program-kosovo/,,2615,Europe,none,NA,,,,NA,,0,-1,-0.333333333,0
104-16-GHA-121,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Ghana,GHA,LM,none,NA,2016,water,Columbia University Chapter,,11,,,18165,Africa,Sub-Saharan Africa,NA,,,,NA,,1,0,0.142857143,1
104-16-GHA-44,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Ghana,GHA,LM,none,1,2016,water,A New Face of Civil Engineering: Katrina Myers,,1,https://www.ewb-usa.org/a-new-face-of-engineering-katrina-myers/,,5112,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-16-KEN-86,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Kenya,KEN,LM,rural,NA,2016,water,howard-uni,,11,,,23142,Africa,Sub-Saharan Africa,NA,,,,NA,,4,0,0.571428571,1
104-16-MEX-43,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,"Mexico, Nicaragua",MEX,UM,none,1,2016,ag,Why We Partner with EWB-USA,,1,https://www.ewb-usa.org/why-we-partner-with-ewb-usa/,,2815,Americas,Latin America and the Caribbean,NA,,,,NA,,2,0,0.285714286,1
104-16-NIC-37,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Nicaragua,NIC,LM,none,1,2016,water,Happy First Anniversary to our Nicaragua Office!,,1,https://www.ewb-usa.org/happy-first-anniversary-nicaragua-office/,,3994,Americas,Latin America and the Caribbean,NA,,,,NA,,2,0,0.285714286,1
104-16-SLV-114,Engineer,EWB,F,PR,ME,Americas,Latin America and the Caribbean,El Salvador,SLV,LM,none,NA,2016,water,Washington DC Professional Chapter,,10,,,11796,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-16-SLV-115,Engineer,EWB,F,PR,ME,Americas,Latin America and the Caribbean,El Salvador,SLV,LM,none,NA,2016,water,Washington DC Professional Chapter,,6,,,8928,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-16-UGA-145,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Uganda,UGA,LO,none,NA,2016,"ag, water",University of Kansas Chapter,,10,,,17205,Africa,Sub-Saharan Africa,NA,,,,NA,,0,-1,-0.333333333,0
104-16-UGA-146,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Uganda,UGA,LO,none,NA,2016,"ag, water",University of Kansas Chapter,,8,,,19411,Africa,Sub-Saharan Africa,NA,,,,NA,,1,-1,-0.19047619,0
104-16-UGA-98,Engineer,EWB,F,PR,PIM,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Uganda, Colombia",UGA,LO,rural,NA,2016,"ag, water",columbia,,16,,,38381,Africa,Sub-Saharan Africa,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-999-19,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2017,water,Bringing the Story Home: Tips for Documenting Your Field Experience,,1,https://www.ewb-usa.org/bringing-the-story-home-tips-for-documenting-your-field-experience/,,3585,all,all,NA,,,,NA,,2,0,0.285714286,1
104-17-999-25,Engineer,EWB,I,B ,B ,all,all,all,999,none,none,1,2017,water,"Meet Program Engineer, Eric Lundborg",,1,https://www.ewb-usa.org/meet-program-engineer-eric-lundborg/,,2418,all,all,NA,,,,NA,,0,-1,-0.333333333,0
104-17-AUT-30,Engineer,EWB,I,B ,B ,Europe,Western Europe,Austria,AUT,H,rural,1,2017,ag,Farmer-to-Farmer Program: Engineers Boost the Longevity of Kosovo's Agribusiness,,1,https://www.ewb-usa.org/farmer-to-farmer-program-engineers-boost-the-longevity-of-kosovos-agribusiness/,,4526,Europe,Western Europe,NA,,,,NA,,0,-1,-0.333333333,0
104-17-BLZ-22,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Belize,BLZ,UM,none,1,2017,water,A Look Back: 15 Years of Volunteering to Engineer Change,,1,https://www.ewb-usa.org/a-look-back-15-years-of-volunteering-to-engineer-change/,,3527,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-17-BOL-104,Engineer,EWB,F,PR,ME,Americas,Latin America and the Caribbean,Bolivia,BOL,LM,none,NA,2017,water,University of Kansas Chapter,,7,,,8775,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-BOL-105,Engineer,EWB,F,PR,ME,Americas,Latin America and the Caribbean,Bolivia,BOL,LM,none,NA,2017,water,University of Kansas Chapter,,7,,,15987,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-CHN-23,Engineer,EWB,I,B ,B ,Asia,"Eastern Asia, Southern Asia","China, Nepal",CHN,UM,none,1,2017,water,National Volunteer Week: Celebrating Feats of Service,,1,https://www.ewb-usa.org/national-volunteer-week-celebrating-feats-of-service/,,4694,Asia,Eastern Asia,NA,,,,NA,,0,-1,-0.333333333,0
104-17-CMR-108,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Cameroon,CMR,LM,none,NA,2017,"ag, water",Yale University Chapter,,46,,,92023,Africa,Sub-Saharan Africa,NA,,,,NA,,5,0,0.714285714,1
104-17-DMA-15,Engineer,EWB,I,B ,B ,"Africa, Americas, Asia","Sub-Saharan Africa, Latin America and the Caribbean, Southern Asia","Ethiopia, Dominica, Guatemala, Ecuador, Nepal",DMA,UM,none,1,2017,water,EWB-USA Assists with Dominica Hurricane Response,,1,https://www.ewb-usa.org/ewb-usa-assists-dominica-hurricane-response/,,3372,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-17-DMA-27,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,"Dominica, Dominican Republic, Nicaragua",DMA,UM,none,1,2017,water,Paving the Way for the Next Generation: A Conversation with an EWB-USA Mentor,,1,https://www.ewb-usa.org/paving-the-way-for-the-next-generation-a-conversation-with-an-ewb-usa-mentor/,,3339,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
104-17-ECU-113,Engineer,EWB,F,PR,ME,"Africa, Americas","Sub-Saharan Africa, Latin America and the Caribbean","Mali, Ecuador",ECU,UM,none,NA,2017,"ag, water",Denver Professional Chapter,,14,,,22672,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-ETH-32,Engineer,EWB,I,B ,B ,"Africa, Americas, Asia","Northern Africa, Sub-Saharan Africa, Latin America and the Caribbean, Southern Asia","Morocco, Ethiopia, Malawi, Mozambique, Uganda, Guatemala, Afghanistan, India",ETH,LO,none,1,2017,water,Repairing Hand Pumps to Restore Water to Drought-Stricken Villages in Ethiopia,,1,https://www.ewb-usa.org/repairing-hand-pumps-to-restore-water-to-drought-stricken-villages-in-ethiopia/,,4844,Africa,Sub-Saharan Africa,NA,,,,NA,,2,0,0.285714286,1
104-17-FJI-117,Engineer,EWB,F,PR,ME,Oceania,Melanesia,Fiji,FJI,UM,none,NA,2017,water,San Francisco Professional Chapter,,9,,,39681,Oceania,Melanesia,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-FJI-118,Engineer,EWB,F,PR,ME,Oceania,Melanesia,Fiji,FJI,UM,rural,NA,2017,water,San Francisco Professional Chapter,,81,,,18923,Oceania,Melanesia,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-GHA-122,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Ghana,GHA,LM,none,NA,2017,"ag, water",Columbia University Chapter,,40,,,53976,Africa,Sub-Saharan Africa,0,0-50%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-GHA-123,Engineer,EWB,F,PR,ME,Africa,Sub-Saharan Africa,Ghana,GHA,LM,none,NA,2017,"ag, water",Columbia University Chapter,,21,,,40219,Africa,Sub-Saharan Africa,0,0-50%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-GHA-16,Engineer,EWB,I,B ,B ,Africa,Sub-Saharan Africa,Ghana,GHA,LM,none,1,2017,water,EWB-USA Receives Grant from Conrad N. Hilton Foundation to Enhance Water Service in Ghana,,1,https://www.ewb-usa.org/ewb-usa-receives-grant-conrad-n-hilton-foundation-enhance-water-service-ghana/,,3592,Africa,Sub-Saharan Africa,NA,,,,NA,,0,0,0,None
104-17-GTM-124,Engineer,EWB,F,PR,ME,"Americas, Africa","Latin America and the Caribbean, Sub-Saharan Africa","Guatemala, Chad",GTM,UM,none,NA,2017,water,Missouri University of S&T Chapter,,27,,,37630,Americas,Latin America and the Caribbean,1,76-100%,Yes,Yes,NA,,NA,NA,NA,NA
104-17-GTM-14,Engineer,EWB,I,B ,B ,"Africa, Americas, Asia","Sub-Saharan Africa, Latin America and the Caribbean, Southern Asia","Kenya, Guatemala, India",GTM,UM,none,1,2017,"ag, water",Announcing the 2017 EWB-USA Premier Award Winners!,,1,https://www.ewb-usa.org/announcing-2017-ewb-usa-premier-award-winners/,,4427,Americas,Latin America and the Caribbean,NA,,,,NA,,2,0,0.285714286,1
104-17-GTM-20,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Guatemala,GTM,UM,none,1,2017,water,Graduate Reflections: The Importance of the EWB-USA University Experience,,1,https://www.ewb-usa.org/graduate-reflections-the-importance-of-the-ewb-usa-university-experience/,,3701,Americas,Latin America and the Caribbean,NA,,,,NA,,2,0,0.285714286,1
104-17-GTM-24,Engineer,EWB,I,B ,B ,Americas,Latin America and the Caribbean,Guatemala,GTM,UM,rural,1,2017,"ag, water",El Cantil Bridge: Bringing Safe Passage to 13 Guatemalan Communities,,1,https://www.ewb-usa.org/el-cantil-bridge-bringing-safe-passage-to-13-guatemalan-communities/,,6390,Americas,Latin America and the Caribbean,NA,,,,NA,,0,-1,-0.333333333,0
